authors	title	venue	year
Xiaobei Liu,Soo Ngee Koh,Chee-Cheon Chui,Xin-Wen Wu	A Study on Reconstruction of Linear Scrambler Using Dual Words of Channel Encoder.	TIFS	2013
Demijan Klinc,Jeongseok Ha,Steven W. McLaughlin,João Barros,Byung-Jae Kwak	LDPC Codes for the Gaussian Wiretap Channel.	TIFS	2011
Parham Gohari,Bo Wu 0005,Calvin Hawkins,Matthew T. Hale,Ufuk Topcu	Differential Privacy on the Unit Simplex via the Dirichlet Mechanism.	TIFS	2021
Hu Xiong	Cost-Effective Scalable and Anonymous Certificateless Remote Authentication Protocol.	TIFS	2014
Ville Yli-Mäyry,Rei Ueno,Noriyuki Miura,Makoto Nagata,Shivam Bhasin,Yves Mathieu,Tarik Graba,Jean-Luc Danger,Naofumi Homma	Diffusional Side-Channel Leakage From Unrolled Lightweight Block Ciphers: A Case Study of Power Analysis on PRINCE.	TIFS	2021
Ester Gonzalez-Sosa,Julian Fiérrez,Rubén Vera-Rodríguez,Fernando Alonso-Fernandez	Facial Soft Biometrics for Recognition in the Wild: Recent Works, Annotation, and COTS Evaluation.	TIFS	2018
Sarankumar Balakrishnan,Shreya Gupta,Arupjyoti Bhuyan,Pu Wang 0001,Dimitrios Koutsonikolas,Zhi Sun	Physical Layer Identification Based on Spatial-Temporal Beam Features for Millimeter-Wave Wireless Networks.	TIFS	2020
Huiming Wang,Miao Luo,Qin-Ye Yin 0001,Xiang-Gen Xia 0001	Hybrid Cooperative Beamforming and Jamming for Physical-Layer Security of Two-Way Relay Networks.	TIFS	2013
Shuangrui Zhao,Jia Liu 0009,Yulong Shen,Xiaohong Jiang 0001,Norio Shiratori	Secure and Energy-Efficient Precoding for MIMO Two-Way Untrusted Relay Systems.	TIFS	2021
Takao Murakami,Kenta Takahashi,Kanta Matsuura	Toward Optimal Fusion Algorithms With Security Against Wolves and Lambs in Biometrics.	TIFS	2014
Junhui He,Junxi Chen,Shaohua Tang	Reversible Data Hiding in JPEG Images Based on Negative Influence Models.	TIFS	2020
Debanjan Sadhya,Balasubramanian Raman	Generation of Cancelable Iris Templates via Randomized Bit Sampling.	TIFS	2019
Zhuotao Liu,Yuan Cao 0003,Min Zhu,Wei Ge	Umbrella: Enabling ISPs to Offer Readily Deployable and Privacy-Preserving DDoS Prevention Services.	TIFS	2019
Michihiro Kobayashi,Takahiro Okabe,Yoichi Sato	Detecting Forgery From Static-Scene Video Based on Inconsistency in Noise Level Functions.	TIFS	2010
Karen Hollingsworth,Tanya Peters,Kevin W. Bowyer,Patrick J. Flynn	Iris recognition using signal-level fusion of frames from video.	TIFS	2009
Jishen Zeng,Shunquan Tan,Bin Li 0011,Jiwu Huang	Large-Scale JPEG Image Steganalysis Using Hybrid Deep-Learning Framework.	TIFS	2018
Bruno P. S. Rocha,Mauro Conti,Sandro Etalle,Bruno Crispo	Hybrid Static-Runtime Information Flow and Declassification Enforcement.	TIFS	2013
Peter Kok Keong Loh,Deepak Subramanian	Fuzzy Classification Metrics for Scanner Assessment and Vulnerability Reporting.	TIFS	2010
Mohammad Sayad Haghighi,Sheng Wen,Yang Xiang 0001,Barry G. Quinn,Wanlei Zhou	On the Race of Worms and Patches: Modeling the Spread of Information in Wireless Sensor Networks.	TIFS	2016
Alessandro Piva,Tiziano Bianchi,Alessia De Rosa	Secure client-side ST-DM watermark embedding.	TIFS	2010
Yitao Han,Lingjie Duan,Rui Zhang 0006	Jamming-Assisted Eavesdropping Over Parallel Fading Channels.	TIFS	2019
Abdollah Arasteh,Mohammad Hassan Moradi,Amin Janghorbani	A Novel Method Based on Empirical Mode Decomposition for P300-Based Detection of Deception.	TIFS	2016
Lei Xu 0016,Chunxiao Jiang,Nengqiang He,Zhu Han 0001,Abderrahim Benslimane	Trust-Based Collaborative Privacy Management in Online Social Networks.	TIFS	2019
Yousof Erfani,Ramin Pichevar,Jean Rouat	Audio Watermarking Using Spikegram and a Two-Dictionary Approach.	TIFS	2017
Tian Wang 0002,Hichem Snoussi	Detection of Abnormal Visual Events via Global Optical Flow Orientation Histogram.	TIFS	2014
Shervin Rahimzadeh Arashloo,Josef Kittler,William J. Christmas	Face Spoofing Detection Based on Multiple Descriptor Fusion Using Multiscale Dynamic Binarized Statistical Image Features.	TIFS	2015
Ajay Kumar 0001,Vivek Kanhangad,David Zhang 0001	A new framework for adaptive multimodal biometrics management.	TIFS	2010
Hui Zhang 0039,Weixin Bian,Biao Jie,Deqin Xu,Jun Zhao	A Complete User Authentication and Key Agreement Scheme Using Cancelable Biometrics and PUF in Multi-Server Environment.	TIFS	2021
Le Trieu Phong,Yoshinori Aono,Takuya Hayashi 0001,Lihua Wang 0001,Shiho Moriai	Privacy-Preserving Deep Learning via Additively Homomorphic Encryption.	TIFS	2018
Neetesh Saxena,Bong Jun Choi	Authentication Scheme for Flexible Charging and Discharging of Mobile Vehicles in the V2G Networks.	TIFS	2016
Jiyan Zhang,Ting Cui,Chenhui Jin	ICT: A Cryptanalysis Toolbox for Block Cipher Structure With Secret Components.	TIFS	2021
Yaofei Wang,Weiming Zhang,Weixiang Li,Xinzhi Yu,Nenghai Yu	Non-Additive Cost Functions for Color Image Steganography Based on Inter-Channel Correlations and Differences.	TIFS	2020
Shaoquan Jiang	(Im)possibility of Deterministic Commitment Over a Discrete Memoryless Channel.	TIFS	2014
Wei Yu 0003,K. J. Ray Liu	Defense Against Injecting Traffic Attacks in Wireless Mobile Ad-Hoc Networks.	TIFS	2007
Craig Belcher,Yingzi Du	A Selective Feature Information Approach for Iris Image-Quality Measure.	TIFS	2008
Thiago Meireles Paixão,Maria Cláudia Silva Boeres,Cinthia Obladen de Almendra Freitas,Thiago Oliveira-Santos	Exploring Character Shapes for Unsupervised Reconstruction of Strip-Shredded Text Documents.	TIFS	2019
Jing Liu,Bo Yang	Collusion-Resistant Multicast Key Distribution Based on Homomorphic One-Way Function Trees.	TIFS	2011
Qian Li 0024,Yong Qi,Qingyuan Hu,Saiyu Qi,Yun Lin 0001,Jin Song Dong	Adversarial Adaptive Neighborhood With Feature Importance-Aware Convex Interpolation.	TIFS	2021
Yuanman Li,Jiantao Zhou 0001,An Cheng	SIFT Keypoint Removal via Directed Graph Construction for Color Images.	TIFS	2017
Long Cheng 0005,Dinil Mon Divakaran,Wee-Yong Lim,Vrizlynn L. L. Thing	Opportunistic Piggyback Marking for IP Traceback.	TIFS	2016
Jongkil Kim,Willy Susilo,Man Ho Au,Jennifer Seberry	Adaptively Secure Identity-Based Broadcast Encryption With a Constant-Sized Ciphertext.	TIFS	2015
Shun-Chi Wu,Peng-Tzu Chen,A. Lee Swindlehurst,Pei-Lun Hung	Cancelable Biometric Recognition With ECGs: Subspace-Based Approaches.	TIFS	2019
Yuqing Ni,Junfeng Wu 0001,Li Li 0008,Ling Shi	Multi-Party Dynamic State Estimation That Preserves Data and Model Privacy.	TIFS	2021
Kosuke Shimizu,Taizo Suzuki	Finely Tunable Bitcuboid-Based Encryption With Exception-Free Signed Binarization for JPEG Standard.	TIFS	2021
Hong Chang,Yi Yao,Andreas F. Koschan,Besma Roui-Abidi,Mongi A. Abidi	Improving face recognition via narrowband spectral range selection using Jeffrey divergence.	TIFS	2009
Nisha Srinivas,Gaurav Aggarwal,Patrick J. Flynn,Richard W. Vorder Bruegge	Analysis of Facial Marks to Distinguish Between Identical Twins.	TIFS	2012
Wen Zhou,Zhong Zhang	Human Action Recognition With Multiple-Instance Markov Model.	TIFS	2014
Junliu Zhong,Chi-Man Pun	An End-to-End Dense-InceptionNet for Image Copy-Move Forgery Detection.	TIFS	2020
Chong Xiao Wang,Yang Song,Wee-Peng Tay	Arbitrarily Strong Utility-Privacy Tradeoff in Multi-Agent Systems.	TIFS	2021
Ruitao Feng,Sen Chen,Xiaofei Xie,Guozhu Meng,Shangwei Lin 0001,Yang Liu 0003	A Performance-Sensitive Malware Detection System Using Deep Learning on Mobile Devices.	TIFS	2021
Kunrui Cao,Buhong Wang,Haiyang Ding,Tengyao Li,Jiwei Tian,Fengkui Gong	Secure Transmission Designs for NOMA Systems Against Internal and External Eavesdropping.	TIFS	2020
Wenwen Tu,Mario Goldenbaum,Lifeng Lai,H. Vincent Poor	On Simultaneously Generating Multiple Keys in a Joint Source-Channel Model.	TIFS	2017
Jizhe Zhou,Chi-Man Pun	Personal Privacy Protection via Irrelevant Faces Tracking and Pixelation in Video Live Streaming.	TIFS	2021
Juntao Chen,Quanyan Zhu	Security as a Service for Cloud-Enabled Internet of Controlled Things Under Advanced Persistent Threats: A Contract Design Approach.	TIFS	2017
Jafar Haadi Jafarian,Ehab Al-Shaer,Qi Duan	An Effective Address Mutation Approach for Disrupting Reconnaissance Attacks.	TIFS	2015
Shanshan Wang 0003,Qiben Yan,Zhenxiang Chen,Bo Yang 0001,Chuan Zhao,Mauro Conti	Detecting Android Malware Leveraging Text Semantics of Network Flows.	TIFS	2018
Julien Bringer,Hervé Chabanne,Gérard D. Cohen,Bruno Kindarji,Gilles Zémor	Theoretical and Practical Boundaries of Binary Secure Sketches.	TIFS	2008
Margarita Osadchy,Julio César Hernández Castro,Stuart J. Gibson,Orr Dunkelman,Daniel Pérez-Cabo	No Bot Expects the DeepCAPTCHA! Introducing Immutable Adversarial Examples, With Applications to CAPTCHA Generation.	TIFS	2017
Kaitai Liang,Xinyi Huang 0001,Fuchun Guo,Joseph K. Liu	Privacy-Preserving and Regular Language Search Over Encrypted Cloud Data.	TIFS	2016
Filippo Gandino,Renato Ferrero,Maurizio Rebaudengo	A Key Distribution Scheme for Mobile Wireless Sensor Networks: q-Composite.	TIFS	2017
Yuan Zhang 0009,Min Yang 0002,Zhemin Yang,Guofei Gu,Peng Ning,Binyu Zang	Permission Use Analysis for Vetting Undesirable Behaviors in Android Apps.	TIFS	2014
Yiqi Chen,Dan He,Yuan Luo 0003	Strong Secrecy of Arbitrarily Varying Multiple Access Channels.	TIFS	2021
Zarrin Montazeri,Amir Houmansadr,Hossein Pishro-Nik	Achieving Perfect Location Privacy in Wireless Devices Using Anonymization.	TIFS	2017
David J. Coumou,Gaurav Sharma 0001	Insertion, Deletion Codes With Feature-Based Embedding: A New Paradigm for Watermark Synchronization With Applications to Speech Watermarking.	TIFS	2008
Weichen Xiang,Martin Johnston,Stéphane Y. Le Goff	Low-Complexity Power Control and Energy Harvesting Algorithms for Wiretap Channels Employing Finite-Alphabet Input Schemes.	TIFS	2018
Tatsuya Chuman,Warit Sirichotedumrong,Hitoshi Kiya	Encryption-Then-Compression Systems Using Grayscale-Based Image Encryption for JPEG Images.	TIFS	2019
Weize Quan,Kai Wang 0002,Dong-Ming Yan 0001,Xiaopeng Zhang 0001	Distinguishing Between Natural and Computer-Generated Images Using Convolutional Neural Networks.	TIFS	2018
Vincent Y. F. Tan,Matthieu R. Bloch	Information Spectrum Approach to Strong Converse Theorems for Degraded Wiretap Channels.	TIFS	2015
Y. Zhu,Y. Tan	A Local-Concentration-Based Feature Extraction Approach for Spam Filtering.	TIFS	2011
Liran Lerman,Olivier Markowitch	Efficient Profiled Attacks on Masking Schemes.	TIFS	2019
Le Yu,Tao Zhang 0001,Xiapu Luo,Lei Xue 0001,Henry Chang	Toward Automatically Generating Privacy Policy for Android Apps.	TIFS	2017
Kuo Cao,Yueming Cai,Yongpeng Wu,Weiwei Yang 0001	Secure Communication for Amplify-and-Forward Relay Networks With Finite Alphabet Input.	TIFS	2018
Huiming Wang,Feng Liu,Xiang-Gen Xia 0001	Joint Source-Relay Precoding and Power Allocation for Secure Amplify-and-Forward MIMO Relay Networks.	TIFS	2014
Mustafa Al-Ani,Fouad Khelifi	On the SPN Estimation in Image Forensics: A Systematic Empirical Evaluation.	TIFS	2017
Yue Wang,Esha Sarkar,Wenqing Li,Michail Maniatakos,Saif Eddin G. Jabari	Stop-and-Go: Exploring Backdoor Attacks on Deep Reinforcement Learning-Based Traffic Congestion Control Systems.	TIFS	2021
John Daugman	Information Theory and the IrisCode.	TIFS	2016
Bingyao Yu,Jiwen Lu,Xiu Li,Jie Zhou 0001	Salience-Aware Face Presentation Attack Detection via Deep Reinforcement Learning.	TIFS	2022
Waleed A. Yousef,Issa Traoré,William Briguglio	UN-AVOIDS: Unsupervised and Nonparametric Approach for Visualizing Outliers and Invariant Detection Scoring.	TIFS	2021
Mun-Kyu Lee	Security Notions and Advanced Method for Human Shoulder-Surfing Resistant PIN-Entry.	TIFS	2014
Zhi-Ming Li,Zheng-Hai Huang,Kun Shang	A Customized Sparse Representation Model With Mixed Norm for Undersampled Face Recognition.	TIFS	2016
Paulo F. Oliveira,Luísa Lima,Tiago T. V. Vinhoza,João Barros,Muriel Médard	Coding for Trusted Storage in Untrusted Networks.	TIFS	2012
Yuan Zhang 0004,Qingjun Chen,Sheng Zhong 0002	Privacy-Preserving Data Aggregation in Mobile Phone Sensing.	TIFS	2016
Marcus Karlsson,Emil Björnson,Erik G. Larsson	Jamming a TDD Point-to-Point Link Using Reciprocity-Based MIMO.	TIFS	2017
Shyong Jian Shyu,Hung-Wei Jiang	General Constructions for Threshold Multiple-Secret Visual Cryptographic Schemes.	TIFS	2013
Syed Taha Ali,Vijay Sivaraman,Diethelm Ostry,Gene Tsudik,Sanjay K. Jha	Securing First-Hop Data Provenance for Bodyworn Devices Using Wireless Link Fingerprints.	TIFS	2014
Chao Shen 0001,Yuanxun Li,Yufei Chen 0001,Xiaohong Guan,Roy A. Maxion	Performance Analysis of Multi-Motion Sensor Behavior for Active Smartphone Authentication.	TIFS	2018
Bin Lian,Gongliang Chen,Maode Ma,Jianhua Li 0001	Periodic K-Times Anonymous Authentication With Efficient Revocation of Violator's Credential.	TIFS	2015
Wenjie Ding,Xing Wei,Rongrong Ji,Xiaopeng Hong,Qi Tian 0001,Yihong Gong	Beyond Universal Person Re-Identification Attack.	TIFS	2021
Dan Lin 0001,Douglas Steiert,Joshua Morris,Anna Cinzia Squicciarini,Jianping Fan 0001	REMIND: Risk Estimation Mechanism for Images in Network Distribution.	TIFS	2020
Bogdan Carbunar,Mahmudur Rahman,Jaime Ballesteros,Naphtali Rishe,Athanasios V. Vasilakos	${\rm PROFIL}_{R}$: Toward Preserving Privacy and Functionality in Geosocial Networks.	TIFS	2014
Mario Cagalj,Toni Perkovic,Marin Bugaric	Timing Attacks on Cognitive Authentication Schemes.	TIFS	2015
Huaqun Wang,Debiao He,Shaohua Tang	Identity-Based Proxy-Oriented Data Uploading and Remote Data Integrity Checking in Public Cloud.	TIFS	2016
Suhas Mathur,Wade Trappe	BIT-TRAPS: Building Information-Theoretic Traffic Privacy Into Packet Streams.	TIFS	2011
Daniel González-Jiménez,José Luis Alba-Castro	Toward Pose-Invariant 2-D Face Recognition Through Point Distribution Models and Facial Symmetry.	TIFS	2007
Jinguang Han,Willy Susilo,Yi Mu 0001,Jianying Zhou 0001,Man Ho Au	Improving Privacy and Security in Decentralized Ciphertext-Policy Attribute-Based Encryption.	TIFS	2015
Maha El Choubassi,Pierre Moulin	On reliability and security of randomized detectors against sensitivity analysis attacks.	TIFS	2009
Roy Wallace,Mitchell McLaren,Chris McCool,Sébastien Marcel	Cross-Pollination of Normalization Techniques From Speaker to Face Authentication Using Gaussian Mixture Models.	TIFS	2012
Song Bian 0001,Dur-e-Shahwar Kundi,Kazuma Hirozawa,Weiqiang Liu,Takashi Sato	APAS: Application-Specific Accelerators for RLWE-Based Homomorphic Linear Transformations.	TIFS	2021
Prosanta Gope,Jemin Lee,Tony Q. S. Quek	Lightweight and Practical Anonymous Authentication Protocol for RFID Systems Using Physically Unclonable Functions.	TIFS	2018
Brendan Klare,Mark James Burge,Joshua C. Klontz,Richard W. Vorder Bruegge,Anil K. Jain 0001	Face Recognition Performance: Role of Demographic Information.	TIFS	2012
Wonsuk Choi,Kyungho Joo,Hyo Jin Jo,Moon Chan Park,Dong Hoon Lee 0001	VoltageIDS: Low-Level Communication Characteristics for Automotive Intrusion Detection System.	TIFS	2018
Hugo Proença 0001,João C. Neves	Soft Biometrics: Globally Coherent Solutions for Hair Segmentation and Style Recognition Based on Hierarchical MRFs.	TIFS	2017
Marco Baldi,Franco Chiaraluce,Nicola Laurenti,Stefano Tomasin,Francesco Renna	Secrecy Transmission on Parallel Channels: Theoretical Limits and Performance of Practical Codes.	TIFS	2014
Naoise Holohan,Douglas J. Leith,Oliver Mason	Optimal Differentially Private Mechanisms for Randomised Response.	TIFS	2017
Mohsen Zandi,Ahmad Mahmoudi Aznaveh,Alireza Talebpour	Iterative Copy-Move Forgery Detection Based on a New Interest Point Detector.	TIFS	2016
Dima Bykhovsky,Asaf Cohen 0001	Electrical Network Frequency (ENF) Maximum-Likelihood Estimation Via a Multitone Harmonic Model.	TIFS	2013
Xu Zhang 0004,Edward W. Knightly	Pilot Distortion Attack and Zero-Startup-Cost Detection in Massive MIMO Network: From Analysis to Experiments.	TIFS	2018
Aske R. Lejbølle,Kamal Nasrollahi,Benjamin Krogh,Thomas B. Moeslund	Person Re-Identification Using Spatial and Layer-Wise Attention.	TIFS	2020
Udit Budhia,Deepa Kundur,Takis Zourntos	Digital Video Steganalysis Exploiting Statistical Visibility in the Temporal Domain.	TIFS	2006
Dongyang Xu,Pinyi Ren,James A. Ritcey	Hierarchical 2-D Feature Coding for Secure Pilot Authentication in Multi-User Multi-Antenna OFDM Systems: A Reliability Bound Contraction Perspective.	TIFS	2019
Tomás Denemark,Jessica J. Fridrich	Steganography With Multiple JPEG Images of the Same Scene.	TIFS	2017
Xi Zhao 0001,Tao Feng,Weidong Shi,Ioannis A. Kakadiaris	Mobile User Authentication Using Statistical Touch Dynamics Images.	TIFS	2014
Shulan Wang,Kaitai Liang,Joseph K. Liu,Jianyong Chen,Jian-Ping Yu,Weixin Xie	Attribute-Based Data Sharing Scheme Revisited in Cloud Computing.	TIFS	2016
Dongrun Qin,Zhi Ding 0001	Exploiting Multi-Antenna Non-Reciprocal Channels for Shared Secret Key Generation.	TIFS	2016
Xiaotian Wu,Wei Sun 0007	Generalized Random Grid and Its Applications in Visual Cryptography.	TIFS	2013
Ning Zhang 0015,Yali Zang,Xin Yang 0001,Xiaofei Jia,Jie Tian 0001	Adaptive Orientation Model Fitting for Latent Overlapped Fingerprints Separation.	TIFS	2014
Ming Tang 0002,Pengbo Wang,Xiaoqi Ma,Wenjie Chang,Huanguo Zhang,Guojun Peng,Jean-Luc Danger	An Efficient SCA Leakage Model Construction Method Under Predictable Evaluation.	TIFS	2018
Andrey Garnaev,Wade Trappe	A Bandwidth Monitoring Strategy Under Uncertainty of the Adversary's Activity.	TIFS	2016
Duc-Tien Dang-Nguyen,Giulia Boato,Francesco G. B. De Natale	3D-Model-Based Video Analysis for Computer Generated Faces Identification.	TIFS	2015
Paulo Antonio Andrade Esquef,José Antonio Apolinário,Luiz W. P. Biscainho	Edit Detection in Speech Recordings via Instantaneous Electric Network Frequency Variations.	TIFS	2014
Jun Zhang 0023,Chau Yuen,Chao-Kai Wen,Shi Jin 0002,Kai-Kit Wong,Hongbo Zhu 0002	Large System Secrecy Rate Analysis for SWIPT MIMO Wiretap Channels.	TIFS	2016
Feng Liu,David Zhang 0001,Zhenhua Guo 0001	Distal-Interphalangeal-Crease-Based User Authentication System.	TIFS	2013
Gayathri Mahalingam,Karl Ricanek Jr.,A. Midori Albert	Investigating the Periocular-Based Face Recognition Across Gender Transformation.	TIFS	2014
Luis Pérez-Freire,Fernando Pérez-González	Security of Lattice-Based Data Hiding Against the Watermarked-Only Attack.	TIFS	2008
Bo Zhu 0001,Sanjeev Setia,Sushil Jajodia,Lingyu Wang 0001	Providing witness anonymity under peer-to-peer settings.	TIFS	2010
Kaveh Shamsi,Yier Jin	In Praise of Exact-Functional-Secrecy in Circuit Locking.	TIFS	2021
Yin Zhang,Zhangqing He,Meilin Wan,Jiuyang Liu,Haoshuang Gu,Xuecheng Zou	A SC PUF Standard Cell Used for Key Generation and Anti-Invasive-Attack Protection.	TIFS	2021
Cong Dong,Zhigang Lu,Zelin Cui,Baoxu Liu,Kai Chen 0012	MBTree: Detecting Encryption RATs Communication Using Malicious Behavior Tree.	TIFS	2021
Lang Lin,Sudheendra Srivathsa,Dilip Kumar Krishnappa,Prasad Shabadi,Wayne P. Burleson	Design and Validation of Arbiter-Based PUFs for Sub-45-nm Low-Power Security Applications.	TIFS	2012
Yaqi Liu,Xiaobin Zhu 0001,Xianfeng Zhao,Yun Cao	Adversarial Learning for Constrained Image Splicing Detection and Localization Based on Atrous Convolution.	TIFS	2019
Yiliang Liu,Hsiao-Hwa Chen,Liangmin Wang	Secrecy Capacity Analysis of Artificial Noisy MIMO Channels - An Approach Based on Ordered Eigenvalues of Wishart Matrices.	TIFS	2017
Jawad Muhammad,Yunlong Wang 0003,Caiyong Wang,Kunbo Zhang,Zhenan Sun	CASIA-Face-Africa: A Large-Scale African Face Image Database.	TIFS	2021
Qing Yang 0005,Paolo Gasti,Gang Zhou,Aydin Farajidavar,Kiran S. Balagani	On Inferring Browsing Activity on Smartphones via USB Power Analysis Side-Channel.	TIFS	2017
Yansong Gao,Yang Su,Lei Xu 0015,Damith Chinthana Ranasinghe	Lightweight (Reverse) Fuzzy Extractor With Multiple Reference PUF Responses.	TIFS	2019
Seungwon Shin,Haopei Wang,Guofei Gu	A First Step Toward Network Security Virtualization: From Concept To Prototype.	TIFS	2015
Micah K. Johnson,Hany Farid	Exposing Digital Forgeries in Complex Lighting Environments.	TIFS	2007
Li Sun 0001,Yong Zhang,A. Lee Swindlehurst	Alternate-Jamming-Aided Wireless Physical-Layer Surveillance: Protocol Design and Performance Analysis.	TIFS	2021
Michael Kiperberg,Roee Leon,Amit Resh,Asaf Algawi,Nezer Zaidenberg	Hypervisor-Based Protection of Code.	TIFS	2019
Ali Shahin Shamsabadi,Adrià Gascón,Hamed Haddadi,Andrea Cavallaro	PrivEdge: From Local to Distributed Private Training and Prediction.	TIFS	2020
Hui Cui 0001,Zhiguo Wan,Xinlei Wei,Surya Nepal,Xun Yi	Pay as You Decrypt: Decryption Outsourcing for Functional Encryption Using Blockchain.	TIFS	2020
Tung Le,Christoforos N. Hadjicostis	Graphical Inference for Multiple Intrusion Detection.	TIFS	2008
Ghassan Karame,Boris Danev,Cyrill Bannwart,Srdjan Capkun	On the Security of End-to-End Measurements Based on Packet-Pair Dispersions.	TIFS	2013
Saeedreza Shehnepoor,Mostafa Salehi,Reza Farahbakhsh,Noël Crespi	NetSpam: A Network-Based Spam Detection Framework for Reviews in Online Social Media.	TIFS	2017
Tiago Jose de Carvalho,Christian Riess,Elli Angelopoulou,Hélio Pedrini,Anderson Rocha 0001	Exposing Digital Image Forgeries by Illumination Color Classification.	TIFS	2013
Wei Wang 0100,Kah Chan Teh,Kwok Hung Li	Relay Selection for Secure Successive AF Relaying Networks With Untrusted Nodes.	TIFS	2016
Yiyu Chen 0002,Dessalegn Atnafu,Isabella Schlattner,Wendimagegn Tariku Weldtsadik,Myung-Cheol Roh,Hyoung Joong Kim,Seong-Whan Lee,Benjamin Blankertz,Siamac Fazli	A High-Security EEG-Based Login System with RSVP Stimuli and Dry Electrodes.	TIFS	2016
Ahmed S. Mansour,Rafael F. Schaefer,Holger Boche	On the Individual Secrecy Capacity Regions of the General, Degraded, and Gaussian Multi-Receiver Wiretap Broadcast Channel.	TIFS	2016
Jiangtao Li 0003,Lei Zhang 0009,Joseph K. Liu,Haifeng Qian,Zheming Dong	Privacy-Preserving Public Auditing Protocol for Low-Performance End Devices in Cloud.	TIFS	2016
Yifeng Zheng,Huayi Duan,Cong Wang 0001	Learning the Truth Privately and Confidently: Encrypted Confidence-Aware Truth Discovery in Mobile Crowdsensing.	TIFS	2018
Holger Boche,Rafael F. Schaefer,H. Vincent Poor	Secure Communication and Identification Systems - Effective Performance Evaluation on Turing Machines.	TIFS	2020
Valerio Cambareri,Mauro Mangia,Fabio Pareschi,Riccardo Rovatti,Gianluca Setti	On Known-Plaintext Attacks to a Compressed Sensing-Based Encryption: A Quantitative Analysis.	TIFS	2015
Yuling Chen,Sen Dong,Tao Li,Yilei Wang,Huiyu Zhou 0001	Dynamic Multi-Key FHE in Asymmetric Key Setting From LWE.	TIFS	2021
Ali Kuhestani,Abbas Mohammadi 0002,MohammadAli Mohammadi	Joint Relay Selection and Power Allocation in Large-Scale MIMO Systems With Untrusted Relays and Passive Eavesdroppers.	TIFS	2018
Cristian Hristea,Ferucio Laurentiu Tiplea	Privacy of Stateful RFID Systems With Constant Tag Identifiers.	TIFS	2020
Amina Bassit,Florian Hahn 0004,Joep Peeters,Tom A. M. Kevenaar,Raymond N. J. Veldhuis,Andreas Peter	Fast and Accurate Likelihood Ratio-Based Biometric Verification Secure Against Malicious Adversaries.	TIFS	2021
Yanwei Pang,Jiale Cao,Jian Wang 0087,Jungong Han	JCS-Net: Joint Classification and Super-Resolution Network for Small-Scale Pedestrian Detection in Surveillance Images.	TIFS	2019
Xuan Zha,Wei Ni 0001,Xu Wang 0004,Ren Ping Liu,Y. Jay Guo,Xinxin Niu,Kangfeng Zheng	The Impact of Link Duration on the Integrity of Distributed Mobile Networks.	TIFS	2018
Félix Balado,Neil J. Hurley,Elizabeth P. McCarthy,Guénolé C. M. Silvestre	Performance Analysis of Robust Audio Hashing.	TIFS	2007
Selim Yilmaz,Emre Aydogan,Sevil Sen	A Transfer Learning Approach for Securing Resource-Constrained IoT Devices.	TIFS	2021
Biao He,Xiangyun Zhou 0001	Secure On-Off Transmission Design With Channel Estimation Errors.	TIFS	2013
Yanzhen Ren,Tingting Cai,Ming Tang,Lina Wang	AMR Steganalysis Based on the Probability of Same Pulse Position.	TIFS	2015
Hanzhuo Tan,Ajay Kumar 0001	Minutiae Attention Network With Reciprocal Distance Loss for Contactless to Contact-Based Fingerprint Identification.	TIFS	2021
Ming Fan 0002,Ziliang Si,Xiaofei Xie,Yang Liu 0003,Ting Liu 0002	Text Backdoor Detection Using an Interpretable RNN Abstract Model.	TIFS	2021
Zhe Yao,Philip Mark,Michael G. Rabbat	Anomaly Detection Using Proximity Graph and PageRank Algorithm.	TIFS	2012
Yu Fu 0005,Lu Yu 0001,Oluwakemi Hambolu,Ilker Özçelik,Benafsh Husain,Jingxuan Sun,Karan Sapra,Dan Du,Christopher Tate Beasley,Richard R. Brooks	Stealthy Domain Generation Algorithms.	TIFS	2017
Sani M. Abdullahi,Hongxia Wang 0001,Tao Li 0016	Fractal Coding-Based Robust and Alignment-Free Fingerprint Image Hashing.	TIFS	2020
Sherif N. Abbas 0001,Dimitrios Hatzinakos	EEG-Based Human Recognition Using Steady-State AEPs and Subject-Unique Spatial Filters.	TIFS	2020
Wencheng Yang,Jiankun Hu,Song Wang 0003	A Delaunay Quadrangle-Based Fingerprint Authentication System With Template Protection Using Topology Code for Local Registration and Security Enhancement.	TIFS	2014
Bogdan Carbunar,Yao Chen,Radu Sion	Tipping Pennies? Privately Practical Anonymous Micropayments.	TIFS	2012
Iordanis Mpiperis,Sotiris Malassiotis,Michael G. Strintzis	3-D Face Recognition With the Geodesic Polar Representation.	TIFS	2007
Alessio Zappone,Pin-Hsun Lin,Eduard A. Jorswieck	Optimal Energy-Efficient Design of Confidential Multiple-Antenna Systems.	TIFS	2018
Zhihai Yang,Qindong Sun,Yaling Zhang,Wei Wang	Identification of Malicious Injection Attacks in Dense Rating and Co-Visitation Behaviors.	TIFS	2021
Wenyuan Yang,Yuesheng Zhu	A Verifiable Semantic Searching Scheme by Optimal Matching Over Encrypted Data in Public Cloud.	TIFS	2021
Mehdi Sharifzadeh,Mohammed Aloraini,Dan Schonfeld	Adaptive Batch Size Image Merging Steganography and Quantized Gaussian Image Steganography.	TIFS	2020
Paolo Addesso,Michele Cirillo,Mario Di Mauro,Vincenzo Matta	ADVoIP: Adversarial Detection of Encrypted and Concealed VoIP.	TIFS	2020
